Time[s],X[m],Y[m],Yaw[rad],V[m/s],steering angle[rad],acceleration[m/s^2],calculation time[ms],progressed distance[m]
0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.9967518544328554
0.1,0.5059172954905269,14.980228093512757,-0.008775917679553324,5.126102579957171,-0.06926375615137594,1.2610257995717034,3.4557,1.5023310636957912
0.2,1.0197446723770587,14.91881527265798,-0.03398363896408764,5.223859537502133,-0.1933290660342269,0.9775695754496234,3.1993,2.017056967719318
0.30000000000000004,1.5323891627676431,14.800470798044033,-0.07863951282370243,5.299558050999049,-0.33174592335880676,0.7569851349691654,3.1524,2.5380469319760977
0.4,2.036178257852786,14.627042912968362,-0.13766543571303938,5.3580799525234815,-0.42647307820197927,0.5852190152443296,3.2788,3.0647331481908027
0.5,2.5307000820953878,14.41521467396285,-0.20047423952645027,5.4032991659998615,-0.4476739588084409,0.4521921347638038,2.928,3.597660726878734
0.6,3.016036305790026,14.173962485594005,-0.2622512442339736,5.4382377680615805,-0.4378670865691605,0.34938602061719376,3.0065,4.136235294082081
0.7,3.486796547838953,13.899195391056836,-0.32556569804295105,5.465182469845386,-0.4455756124146862,0.26944701783805797,2.394,4.67875673568843
0.7999999999999999,3.944628181359782,13.599002258689561,-0.38647184373909893,5.485952452262987,-0.42813571597007855,0.20769982417601432,2.105,5.2243134652545224
0.8999999999999999,4.3908654243924525,13.27864704692546,-0.44315194528008367,5.501967014004513,-0.39911264635871774,0.16014561741525932,1.9454,5.772028760279275
0.9999999999999999,4.821633610279796,12.93549007489429,-0.49838156311273796,5.5142945748472245,-0.3885779175815992,0.12327560842712063,1.3431,6.321183739960968
1.0999999999999999,5.238565997776282,12.573969896141051,-0.5504727452532869,5.523790852031025,-0.36702942297940566,0.09496277183800708,1.6939,6.871680623417578
1.2,5.646195571425491,12.200726047467006,-0.5966403006305553,5.531110375852968,-0.3267144371088977,0.07319523821943226,1.5166,7.423481318218951
1.3,6.040943247730481,11.81295219120106,-0.6401953422757201,5.536729533856712,-0.30861107016654454,0.056191580037441125,1.2229,7.976144257708582
1.4000000000000001,6.425062063840574,11.413946431198859,-0.6800194131285034,5.541057347724618,-0.28282574054003695,0.04327813867906385,1.339,8.529459457851551
1.5000000000000002,6.800971157879153,11.006664656896046,-0.7153299807818273,5.544392753781402,-0.25147954563180663,0.033354060567837976,1.5014,9.083337294802913
1.6000000000000003,7.169286183331586,10.592099722538265,-0.7467036892619747,5.546960065169339,-0.22393578751341572,0.025673113879367417,1.251,9.637608619410049
1.7000000000000004,7.529507397875419,10.170179081699889,-0.7752629406001785,5.548935943861177,-0.20412542386606108,0.01975878691838507,1.2361,10.192143405700136
1.8000000000000005,7.882857663161706,9.742256117453985,-0.8008892724453542,5.55045733504275,-0.18341239163183068,0.01521391181572673,1.2268,10.746923074969127
1.9000000000000006,8.232559047098508,9.311166868140608,-0.8224089558568932,5.551630579565903,-0.15429954098260223,0.01173244523153734,1.7385,11.30193121981343
2.0000000000000004,8.576613452300014,8.87542276750987,-0.841904392541576,5.552532929912962,-0.13988303555092346,0.009023503470585635,0.9806,11.857075472786914
2.1000000000000005,8.916761196139191,8.436518577001246,-0.8588601743674775,5.553227078037616,-0.12176349708397519,0.006941481246544759,0.8569,12.412322322998534
2.2000000000000006,9.254422144715942,7.995618437822289,-0.8730870019413859,5.553762628367099,-0.10224811088188353,0.005355503294824913,0.8382,12.967659667421762
2.3000000000000007,9.590524830635067,7.5534678013712435,-0.8847252599424805,5.554174759976834,-0.08369711986820644,0.004121316097358016,0.8108,13.523061260830506
2.400000000000001,9.924789963860958,7.109879505903822,-0.8945515642324713,5.554492802009765,-0.0706913010008152,0.003180420329306878,0.8515,14.078494770112217
2.500000000000001,10.257880817360075,6.665372711443309,-0.9026372207634282,5.554737377644198,-0.05818552301692066,0.002445756344330415,0.9155,14.633939661152354
2.600000000000001,10.593277718877186,6.222574943728489,-0.9074919132099203,5.554925995398088,-0.03494944526358328,0.0018861775388995044,0.8506,15.1893958070127
2.700000000000001,10.928703973241722,5.779778106702827,-0.9111523717251059,5.555072304351587,-0.026354127400345165,0.0014630895349805107,0.8593,15.74483714293436
2.800000000000001,11.265445533205174,5.337964234895705,-0.9131993650361011,5.555183917417164,-0.014738818841506374,0.0011161306557766724,2.6762,16.30023314684993
2.9000000000000012,11.606045747776829,4.899105575493671,-0.9126133399877794,5.555269501418982,0.004219614465244742,0.0008558400181765611,1.7378,16.855552988793562
3.0000000000000013,11.951566293573766,4.464100772423778,-0.909426368732713,5.55533601712963,0.022944720451410685,0.0006651571064777246,0.8229,17.410784163288618
3.1000000000000014,12.300527515307472,4.031843939797766,-0.9050835420072812,5.555386527825792,0.03126307918172284,0.0005051069616239429,0.8221,17.965883696936295
3.2000000000000015,12.655127920068855,3.6041959088216178,-0.898602801682939,5.555425605253914,0.04664144039982426,0.0003907742812144343,0.8878,18.520752840214662
3.3000000000000016,13.01998221686944,3.185259701868294,-0.8877972546237209,5.555455661935062,0.0777037156344974,0.0003005668114794801,0.902,19.0753494974491
3.4000000000000017,13.390701231913045,2.7715011754236545,-0.87619303576258,5.555478945276129,0.08343058884132726,0.00023283341067530648,1.0843,19.62955559381826
3.5000000000000018,13.768324638894612,2.3640324773237604,-0.8633196264893513,5.555496525199635,0.09252444623307038,0.00017579923505144058,1.6174,20.183001083910124
3.600000000000002,14.160227993220158,1.970282299071529,-0.8448997574271995,5.555510060216768,0.13214231584888006,0.00013535017133981667,2.0186,20.73545501900021
